,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
339,7.448.346.456.692.910,400.0,4.015.328.688,4.028.365.828,4.039.232.229,4.048.012.163,4.054.772.955,4.059.565.994,406.242.748,406.337.893
340,38.425.984.251.968.500,400.0,3.973.883.539,3.951.513.422,3.932.789.609,3.917.610.678,3.905.892.784,3.897.570.175,3.892.595.591,3.890.940.565
341,927,400.0,4.037.631.787,4.069.566.935,4.096.123.701,411.754.334,4.134.015.215,4.145.681.896,4.152.642.803,4.154.956.636
342,9.520.433.070.866.140,400.0,4.040.772.996,4.075.360.661,4.104.113.889,412.729.937,4.145.125.917,4.157.750.446,4.165.282.227,416.778.572
343,7.788.700.787.401.570,400.0,4.019.423.845,4.035.939.333,4.049.699.138,4.060.813.282,4.069.369.377,4.075.434.124,4.079.054.423,4.080.258.113
344,30.394.488.188.976.300,400.0,3.965.115.253,393.520.856,3.910.154.863,38.898.302,3.874.131.325,386.297.678,3.856.307.751,3.854.088.702
345,23.167.716.535.433.000,400.0,3.957.363.351,3.920.781.137,3.890.111.835,3.865.216.154,3.845.977.303,3.832.302.634,3.824.124.975,3.821.403.631
346,25.949.606.299.212.500,400.0,3.960.332.102,3.926.307.787,3.897.791.229,3.874.648.505,3.856.767.615,3.844.059.896,3.836.461.169,3.833.932.594
347,13.432.677.165.354.300,400.0,3.947.122.725,3.901.704.336,3.863.589.237,3.832.624.288,3.808.679.922,3.791.652.599,378.146.683,3.778.076.708
348,450.240.157.480.315,400.0,3.981.209.893,3.965.125.112,3.951.671.985,3.940.772.269,393.236.168,3.926.390.054,3.922.821.469,392.163.434
349,45.479.527.559.055.100,400.0,3.981.719.837,3.966.072.132,395.298.524,394.238.268,3.934.201.645,3.928.393.139,3.924.922.084,3.923.767.408
350,907.996.062.992.126,400.0,4.035.260.374,4.065.191.537,4.090.087.914,4.110.172.106,4.125.619.162,4.136.561.062,414.308.994,4.145.260.232
351,7.756.771.653.543.300,400.0,4.019.038.285,4.035.226.446,4.048.714.073,4.059.608.708,4.067.996.009,407.394.121,4.077.490.184,4.078.670.166
352,24.540.944.881.889.700,400.0,3.958.826.441,3.923.505.049,3.893.897.013,3.869.865.612,3.851.296.354,3.838.098.508,3.830.206.346,3.827.580.067
353,7.335.787.401.574.800,400.0,4.013.981.528,4.025.873.601,4.035.786.962,4.043.797.711,4.049.966.709,4.054.340.452,4.056.951.712,4.057.819.977
354,6.493.937.007.874.010,400.0,4.004.017.428,4.007.427.715,4.010.273.466,401.257.488,4.014.348.246,4.015.606.084,4.016.357.262,4.016.607.069
355,2.145.984.251.968.500,400.0,395.555.016,3.917.404.859,3.885.419.458,3.859.451.693,3.839.382.085,3.825.115.737,3.816.583.776,3.813.744.452
356,5.919.370.078.740.150,400.0,3.997.328.431,3.995.032.671,3.993.115.646,3.991.564.479,3.990.368.733,3.989.520.347,3.989.013.597,398.884.506
357,39.353.149.606.299.200,400.0,3.974.906.294,3.953.414.262,393.542.724,39.208.468,3.909.591.647,390.159.807,3.896.820.299,3.895.230.775
358,45.729.527.559.055.100,400.0,398.199.994,3.966.592.291,395.370.653,3.943.267.155,3.935.212.174,3.929.493.238,3.926.075.737,392.493.888
359,6.323.622.047.244.090,400.0,4.002.025.298,4.003.737.211,4.005.166.025,400.632.172,4.007.212.353,400.784.413,4.008.221.447,4.008.346.928
360,8.265.826.771.653.540,400.0,4.025.219.817,4.046.651.867,4.064.497.244,4.078.904.766,4.089.992.393,4.097.849.608,4.102.539.162,4.104.098.241
361,9.798.464.566.929.130,400.0,4.044.282.041,4.081.830.135,4.113.033.098,4.138.187.011,415.752.307,4.171.214.643,4.179.382.271,4.182.096.993
362,356.744.094.488.189,400.0,3.970.861.177,3.945.894.988,392.499.198,3.908.042.328,3.894.955.009,3.885.658.493,3.880.101.288,3.878.252.344
363,8.402.322.834.645.660,400.0,4.026.889.869,4.049.737.171,4.068.757.685,4.084.111.923,4.095.926.942,410.429.903,4.109.295.659,4.110.956.791
364,7.369.960.629.921.250,400.0,4.014.390.154,4.026.629.597,4.036.832.102,4.045.076.232,4.051.424.799,4.055.925.774,4.058.612.966,4.059.506.474
365,9.027.677.165.354.330,400.0,4.034.609.803,4.063.990.969,4.088.431.505,4.108.148.979,4.123.314.567,4.134.057.381,4.140.467.577,4.142.598.435
366,47.003.543.307.086.600,400.0,3.983.429.893,3.969.247.496,3.957.388.145,3.947.781.415,3.940.369.554,3.935.107.563,3.931.963.253,3.930.917.298
367,8.982.637.795.275.590,400.0,403.405.001,4.062.957.846,4.087.006.034,4.106.407.838,4.121.331.122,4.131.902.542,4.138.210.562,4.140.307.471
368,8.031.614.173.228.340,400.0,4.022.366.591,4.041.379.274,4.057.214.815,4.070.002.589,4.079.845.376,4.086.821.284,4.090.985.157,4.092.369.521
369,913.244.094.488.189,400.0,4.035.914.196,4.066.398.007,4.091.752.359,4.112.204.949,4.127.934.741,4.139.076.614,4.145.724.697,4.147.934.596
370,14.896.062.992.125.900,400.0,3.948.647.525,3.904.546.053,3.867.541.551,3.837.482.488,3.814.240.835,3.797.714.391,378.782.871,3.784.538.542
371,4.714.566.929.133.850,400.0,3.983.589.677,3.969.544.165,3.957.799.466,3.948.285.732,3.940.945.693,3.935.734.729,3.932.620.924,3.931.585.119
372,373.748.031.496.063,400.0,3.972.726.636,3.949.363.008,3.929.805.374,3.913.949.015,3.901.707.279,3.893.012.156,3.887.814.735,3.886.085.542
373,11.350.393.700.787.400,400.0,3.944.961.855,3.897.676.468,3.857.986.343,3.825.736.319,380.079.487,3.783.056.725,3.772.445.039,3.768.913.044
374,526.740.157.480.315,400.0,3.989.846.028,3.981.156.049,3.973.894.166,3.968.014.664,3.963.480.258,3.960.262.016,395.833.931,3.957.699.781
375,6.532.165.354.330.700,400.0,4.004.465.664,4.008.257.973,401.142.236,4.013.981.371,4.015.953.175,4.017.351.737,4.018.186.944,4.018.464.694
376,6.071.771.653.543.300,400.0,3.999.093.936,3.998.305.178,3.997.646.661,3.997.113.895,3.996.703.246,3.996.411.913,3.996.237.905,3.996.180.034
377,39.711.417.322.834.600,400.0,3.975.302.088,3.954.149.807,3.936.447.826,3.922.098.899,3.911.022.731,3.903.156.411,3.898.454.758,3.896.890.567
378,9.291.614.173.228.340,400.0,4.037.902.169,4.070.065.725,4.096.811.684,4.118.383.459,4.134.972.066,4.146.721.293,4.153.731.401,415.606.158
379,9.091.574.803.149.600,400.0,4.035.404.999,4.065.458.416,4.090.456.109,4.110.621.804,4.126.131.413,4.137.117.556,4.143.672.808,4.145.851.863
380,48.126.377.952.755.900,400.0,3.984.693.674,3.971.593.792,3.960.641.035,3.951.769.595,3.944.925.565,3.940.066.976,3.937.163.827,3.936.198.111
381,7.733.779.527.559.050,400.0,4.018.760.822,4.034.713.406,4.048.005.134,4.058.741.769,406.700.757,4.072.866.717,4.076.364.348,4.077.527.264
382,9.095.590.551.181.100,400.0,4.035.455.014,4.065.550.709,4.090.583.437,4.110.777.316,4.126.308.556,4.137.309.999,4.143.874.371,4.146.056.456
383,6.288.622.047.244.090,400.0,4.001.616.892,4.002.980.515,4.004.118.683,4.005.039.319,4.005.748.823,4.006.252.123,4.006.552.713,4.006.652.679
384,11.338.976.377.952.700,400.0,3.944.950.035,3.897.654.434,385.795.569,3.825.698.632,3.800.751.725,3.783.009.689,3.772.395.671,3.768.862.899
385,8.553.031.496.062.990,400.0,4.028.740.024,4.053.154.465,4.073.475.758,4.089.877.638,4.102.497.428,4.111.439.078,4.116.775.365,4.118.549.374
386,9.984.212.598.425.190,400.0,4.046.639.149,408.617.423,4.119.020.403,4.145.494.077,4.165.841.868,4.180.248.446,4.188.842.082,4.191.698.313
387,6.569.724.409.448.810,400.0,4.004.906.442,4.009.074.373,4.012.552.032,4.015.364.283,4.017.531.159,4.019.068.052,4.019.985.858,4.020.291.074
388,4.243.503.937.007.870,400.0,3.978.321.761,3.959.760.537,394.423.165,3.931.647.241,3.921.934.951,3.915.038.203,3.910.916.423,3.909.545.211
389,3.584.133.858.267.710,400.0,3.971.043.986,3.946.234.873,3.925.463.755,3.908.621.295,389.561.689,3.886.379.348,3.880.857.426,3.879.020.226
390,9.369.370.078.740.150,400.0,403.887.599,4.071.862.048,409.928.921,4.121.408.706,4.138.417.539,4.150.463.915,415.765.113,416.004.015
391,5.248.346.456.692.910,400.0,3.989.629.043,3.980.753.459,3.973.336.309,3.967.330.994,3.962.699.496,3.959.412.312,3.957.448.405,3.956.795.169
392,9.704.645.669.291.330,400.0,4.043.095.392,4.079.642.681,4.110.017.686,4.134.506.431,4.153.332.468,416.666.355,4.174.616.376,4.177.259.742
393,1.293.228.346.456.690,400.0,3.946.602.504,3.900.734.721,3.862.240.564,3.830.966.377,3.806.782.099,3.789.583.755,3.779.295.518,3.775.871.265
394,8.489.291.338.582.670,400.0,4.027.956.729,405.170.779,4.071.478.517,408.743.701,4.099.716.223,4.108.416.847,4.113.609.402,4.115.335.646
395,3.263.464.566.929.130,400.0,3.967.544.562,3.939.727.453,391.642.985,3.897.533.477,3.882.940.028,3.872.572.074,3.866.373.778,3.864.311.435
396,11.780.314.960.629.900,400.0,3.945.407.157,3.898.506.583,3.859.141.141,3.827.156.064,3.802.420.207,3.784.828.641,3.774.304.788,3.770.802.051
397,8.244.527.559.055.110,400.0,4.024.959.699,404.617.126,4.063.833.519,4.078.093.496,4.089.067.746,4.096.844.702,4.101.486.387,4.103.029.557
398,593.740.157.480.315,400.0,3.997.536.991,3.995.419.289,3.993.650.985,3.992.220.179,399.111.723,3.990.334.692,3.989.867.275,398.971.182
399,19.468.503.937.007.800,400.0,3.953.445.003,3.913.484.141,3.879.969.501,3.852.755.647,3.831.720.214,3.816.765.864,3.807.821.874,3.804.845.337
400,4.068.976.377.952.750,400.0,3.976.384.585,3.956.161.362,3.939.238.722,3.925.522.705,3.914.935.801,3.907.417.326,3.902.923.721,390.142.877
401,3.228.346.456.692.910,400.0,3.967.162.896,3.939.017.573,3.915.444.192,3.896.323.555,3.881.556.559,3.871.065.125,3.864.792.938,3.862.705.998
402,2.630.748.031.496.060,400.0,3.960.715.398,3.927.021.211,3.898.782.402,3.875.865.788,3.858.160.021,3.845.576.981,3.838.052.894,3.835.549.171
403,4.608.267.716.535.430,400.0,3.982.395.891,3.967.327.553,3.954.726.068,3.944.517.322,3.936.640.486,393.104.813,3.927.706.309,3.926.594.634
404,25.065.748.031.496.000,400.0,3.959.386.811,3.924.548.209,3.895.346.473,3.871.645.905,3.853.332.924,3.840.317.559,383.253.465,3.829.944.749
405,657.988.188.976.378,400.0,4.005.025.713,4.009.295.276,4.012.857.692,4.015.738.456,4.017.958.106,4.019.532.422,4.020.472.573,4.020.785.219
406,8.707.795.275.590.550,400.0,4.030.646.769,4.056.675.468,4.078.336.128,4.095.816.406,410.926.441,4.118.792.121,4.124.477.873,412.636.801
407,516.775.590.551.181,400.0,3.988.712.402,397.905.263,3.970.979.403,3.964.442.413,3.959.400.585,3.955.822.025,3.953.683.981,3.952.972.814
408,8.272.834.645.669.290,400.0,402.530.543,4.046.810.046,4.064.715.687,4.079.171.765,4.090.296.703,4.098.180.329,4.102.885.637,4.104.449.951
409,28.521.259.842.519.600,400.0,3.963.093.483,3.931.446.873,3.904.930.316,3.883.415.442,3.866.795.149,3.854.984.815,3.847.923.278,3.845.573.555
410,6.129.724.409.448.810,400.0,3.999.766.941,3.999.552.471,3.999.373.427,3.999.228.581,399.911.694,3.999.037.739,3.998.990.435,3.998.974.703
411,8.777.047.244.094.480,400.0,4.031.502.219,4.058.254.876,4.080.516.038,4.098.479.709,41.122.989,4.122.089.241,4.127.931.585,4.129.873.758
412,6.523.228.346.456.690,400.0,400.436.084,4.008.063.813,401.115.369,4.013.652.466,4.015.577.869,4.016.943.526,4.017.759.085,4.018.030.301
413,556.251.968.503.937,400.0,3.993.218.921,398.741.278,3.982.562.464,3.978.636.523,3.975.609.375,3.973.461.214,3.972.177.942,3.971.751.121
414,510.492.125.984.252,400.0,398.799.891,3.977.728.621,3.969.144.532,3.962.193.493,3.956.832.083,3.953.026.571,3.950.752.885,3.949.996.592
415,9.345.629.921.259.840,400.0,4.038.578.479,4.071.313.277,4.098.532.359,4.120.484.557,4.137.365.039,4.149.320.659,4.156.453.782,4.158.824.832
416,43.563.779.527.559.000,400.0,3.979.578.794,3.962.095.629,3.947.470.519,3.935.619.714,392.647.431,3.919.980.478,3.916.099.642,3.914.808.609
417,9.634.763.779.527.550,400.0,40.422.132,4.078.016.247,4.107.775.413,4.131.769.325,4.150.215.899,4.163.278.749,4.171.071.737,4.173.662.006
418,752.007.874.015.748,400.0,4.016.189.065,4.029.957.303,4.041.432.059,40.507.029,4.057.841.335,4.062.901.916,4.065.923.055,4.066.927.578
419,519.751.968.503.937,400.0,3.989.050.737,3.979.680.431,3.971.849.395,3.965.508.682,396.061.834,3.957.147.353,39.550.736,3.954.383.821
420,21.726.377.952.755.900,400.0,3.955.832.662,3.917.930.937,3.886.150.654,3.860.349.996,3.840.409.892,3.826.235.784,3.817.759.061,381.493.813
421,725.767.716.535.433,400.0,4.013.048.749,4.024.147.736,4.033.400.857,4.040.878.639,4.046.637.527,4.050.720.672,4.053.158.499,4.053.969.107
422,9.127.755.905.511.810,400.0,4.035.855.795,4.066.290.247,4.091.603.697,4.112.023.387,412.772.793,4.138.851.945,4.145.489.384,4.147.695.745
423,11.153.937.007.874.000,400.0,3.944.758.515,38.972.974,3.857.458.995,3.825.087.966,3.800.052.617,3.782.247.522,3.771.595.719,3.768.050.359
424,1.922.755.905.511.810,400.0,395.319.094,3.913.010.909,3.879.311.623,3.851.947.283,3.830.795.195,3.815.757.736,3.806.763.971,3.803.770.857
425,2.917.992.125.984.250,400.0,3.963.803.378,3.932.767.788,3.906.765.019,3.885.668.217,3.869.371.605,3.857.791.655,3.850.868.014,3.848.564.201
426,3.723.582.677.165.350,400.0,3.972.573.892,3.949.079.074,3.929.411.321,3.913.465.489,3.901.154.559,3.892.410.228,3.887.183.369,3.885.444.379
427,1.181.771.653.543.300,400.0,3.945.445.917,3.898.578.837,3.859.241.654,3.827.279.635,3.802.561.671,3.784.982.861,3.774.466.652,3.770.966.461
428,6.532.204.724.409.440,400.0,4.004.466.126,4.008.258.828,4.011.423.544,401.398.282,4.015.954.828,4.017.353.535,4.018.188.829,4.018.466.607
429,35.751.574.803.149.600,400.0,3.970.945.674,3.946.052.089,3.925.210.044,3.908.309.939,3.895.260.946,388.599.169,3.880.450.794,3.878.607.278
430,5.691.377.952.755.900,400.0,3.994.698.921,3.990.157.425,3.986.364.133,3.983.294.133,3.980.927.183,397.924.763,3.978.244.339,3.977.910.647
431,8.051.653.543.307.080,400.0,4.022.610.104,4.041.829.342,4.057.836.521,4.070.762.649,4.080.711.783,4.087.762.989,4.091.971.778,4.093.371.072
432,874.744.094.488.189,400.0,4.031.136.331,4.057.579.361,407.958.371,409.734.066,4.111.001.118,4.120.679.151,4.126.454.533,4.128.374.454
433,3.280.708.661.417.320,400.0,3.967.732.085,3.940.076.227,3.916.914.105,3.898.127.901,3.883.619.704,3.873.312.405,3.867.150.405,3.865.100.145
434,15.874.409.448.818.800,400.0,394.966.979,3.906.450.972,3.870.190.665,3.840.738.505,3.817.967.563,3.801.776.595,3.792.091.888,3.788.868.659
435,17.324.015.748.031.400,400.0,3.951.188.697,3.909.280.994,387.412.587,3.845.574.827,382.350.268,3.807.809.682,3.798.423.273,3.795.299.394
436,6.246.141.732.283.460,400.0,4.001.121.647,4.002.062.876,4.002.848.527,4.003.484.045,4.003.973.833,4.004.321.281,4.004.528.793,4.004.597.805
437,9.453.385.826.771.650,400.0,4.039.930.207,4.073.806.423,4.101.970.665,4.124.682.717,414.214.612,4.154.513.904,4.161.892.675,4.164.345.335
438,8.103.031.496.062.990,400.0,4.023.234.955,4.042.984.153,4.059.431.664,4.072.712.709,4.082.934.639,409.017.899,4.094.502.992,4.095.940.578
439,9.120.236.220.472.440,400.0,4.035.762.073,4.066.117.309,4.091.365.117,4.111.732.007,4.127.396.028,4.138.491.384,4.145.111.738,4.147.312.423
440,12.612.992.125.984.200,400.0,3.946.270.873,3.900.116.584,3.861.380.743,3.829.909.377,3.805.572.117,3.788.264.715,3.777.911.134,3.774.465.114
441,265.248.031.496.063,400.0,3.960.948.313,3.927.454.719,3.899.384.667,3.876.605.426,3.859.006.053,3.846.498.757,3.839.020.015,3.836.531.389
442,3.581.771.653.543.300,400.0,3.971.018.112,3.946.186.768,3.925.396.984,3.908.539.354,3.895.523.214,3.886.277.327,3.880.750.411,3.878.911.549
443,4.418.307.086.614.170,400.0,3.980.269.874,3.963.379.256,3.949.250.806,393.780.308,3.928.969.115,3.922.696.621,3.918.948.137,3.917.701.145
444,1.958.503.937.007.870,400.0,3.953.567.934,3.913.713.115,3.880.287.811,3.853.146.762,3.832.167.767,3.817.253.624,3.808.333.714,3.805.365.197
445,7.040.314.960.629.920,400.0,4.010.461.992,4.019.360.608,4.026.781.266,4.032.779.407,4.037.399.496,4.040.675.581,4.042.631.696,4.043.282.152
446,4.368.307.086.614.170,400.0,3.979.711.837,3.962.342.752,3.947.813.268,3.936.040.074,3.926.954.639,3.920.503.427,3.916.648.077,3.915.365.525
447,9.505.314.960.629.920,400.0,4.040.582.844,4.075.010.005,4.103.630.366,4.126.709.054,4.144.453.688,4.157.020.305,4.164.517.574,4.167.009.601
448,35.808.661.417.322.800,400.0,3.971.008.194,3.946.168.329,392.537.139,3.908.507.944,3.895.487.307,3.886.238.219,388.070.939,387.886.989
449,8.393.740.157.480.310,400.0,4.026.784.701,4.049.542.899,4.068.489.439,4.083.784.089,4.095.553.329,4.103.893.016,4.108.870.321,4.110.525.031
450,2.515.944.881.889.760,400.0,3.959.486.933,3.924.734.586,3.895.605.435,3.871.963.966,3.853.696.764,3.840.713.994,38.329.506,3.830.367.197
451,4.640.433.070.866.140,400.0,3.982.756.811,3.967.997.737,3.955.655.333,3.945.656.764,3.937.942.269,3.932.465.258,3.929.192.399,3.928.103.671
452,373.251.968.503.937,400.0,397.267.211,394.926.165,3.929.664.707,391.377.641,3.901.509.974,3.892.797.285,3.887.589.356,3.885.856.666
453,10.421.653.543.307.000,400.0,3.944.001.383,3.895.885.875,3.855.495.246,382.267.354,3.797.288.442,3.779.233.972,3.768.432.731,376.483.759
454,6.693.503.937.007.870,400.0,4.006.361.808,4.011.769.671,4.016.281.241,4.019.929.152,4.022.739.666,4.024.732.944,4.025.923.247,4.026.319.073
455,6.776.023.622.047.240,400.0,4.007.334.391,4.013.570.611,4.018.772.729,4.022.978.669,4.026.218.922,4.028.516.883,4.029.889.092,4.030.345.404
456,4.624.330.708.661.410,400.0,3.982.576.096,3.967.662.176,3.955.190.054,3.945.086.253,3.937.290.479,3.931.755.718,3.928.448.332,3.927.348.116
457,6.894.921.259.842.510,400.0,4.008.739.026,401.617.122,4.022.370.104,402.738.137,4.031.241.719,4.033.979.279,4.035.613.926,4.036.157.498
458,2.989.763.779.527.550,400.0,3.964.578.151,3.934.209.312,3.908.767.114,3.888.126.395,3.872.182.864,3.860.854.205,3.854.080.968,3.851.827.228
459,15.581.102.362.204.700,400.0,3.949.363.075,3.905.879.451,3.869.395.891,3.839.761.675,3.816.849.538,3.800.557.943,3.790.812.955,3.787.569.648
460,8.179.291.338.582.670,400.0,4.024.163.802,4.044.700.628,4.061.802.456,407.561.083,4.086.238.037,4.093.769.314,4.098.264.462,4.099.758.931
461,15.684.251.968.503.900,400.0,3.949.470.917,3.906.080.401,386.967.534,3.840.105.138,3.817.242.649,3.800.986.437,3.791.262.646,3.788.026.399
462,6.649.803.149.606.290,400.0,4.005.847.506,401.081.725,4.014.963.532,4.018.316.221,4.020.899.364,4.022.731.426,4.023.825.473,4.024.189.293
463,8.669.370.078.740.150,400.0,4.030.172.712,4.055.800.149,4.077.127.928,4.094.340.216,4.107.582.419,411.696.451,4.122.563.433,4.124.424.717
464,568.771.653.543.307,400.0,3.994.656.807,3.990.079.331,398.625.597,3.983.161.624,3.980.775.898,3.979.083.018,3.978.071.765,3.977.735.425
465,2.897.322.834.645.660,400.0,3.963.580.491,3.932.353.069,3.906.189.002,3.884.960.956,3.868.562.735,3.856.910.465,3.849.943.537,3.847.625.313
466,6.246.889.763.779.520,400.0,4.001.130.364,4.002.079.027,4.002.870.883,400.351.142,4.004.005.076,4.004.355.267,4.004.564.418,4.004.633.975
467,3.008.779.527.559.050,400.0,3.964.783.641,3.934.591.621,390.929.807,3.888.778.283,3.872.928.366,386.166.633,3.854.932.968,3.852.692.502
468,666.984.251.968.504,400.0,4.006.083.278,4.011.253.878,401.556.763,401.905.567,4.021.743.058,4.023.649.035,4.024.787.214,4.025.165.708
469,9.479.370.078.740.150,400.0,4.040.256.674,40.744.085,4.102.800.923,4.125.696.395,4.143.300.494,4.155.767.753,4.163.205.809,4.165.678.165
470,35.826.771.653.543.300,400.0,397.102.803,3.946.205.208,3.925.422.579,3.908.570.764,3.895.559.123,3.886.316.434,3.880.791.433,3.878.953.208
471,874.976.377.952.756,400.0,4.031.165.028,4.057.632.345,4.079.656.837,4.097.430.003,4.111.102.912,4.120.789.755,412.657.039,4.128.492.057
472,9.991.811.023.622.040,400.0,404.673.579,408.635.231,4.119.265.815,4.145.793.556,416.618.279,4.180.618.653,4.189.229.736,4.192.091.763
473,5.613.346.456.692.910,400.0,3.993.802.161,3.988.494.448,398.406.077,3.980.472.231,397.770.534,3.975.741.917,3.974.569.023,3.974.178.918
474,5.831.496.062.992.120,400.0,3.996.313.296,3.993.150.734,3.990.509.631,3.988.372.401,3.986.724.774,3.985.555.726,398.485.742,3.984.625.171
475,5.663.779.527.559.050,400.0,3.994.381.566,3.989.568.932,3.985.549.043,3.982.295.569,3.979.787.114,3.978.007.126,3.976.943.829,3.976.590.178
476,8.051.692.913.385.820,400.0,4.022.610.582,4.041.830.227,4.057.837.743,4.070.764.143,4.080.713.485,4.087.764.839,4.091.973.717,409.337.304
477,4.362.244.094.488.180,400.0,3.979.644.213,3.962.217.143,3.947.639.055,3.935.826.413,3.926.710.497,3.920.237.623,3.916.369.319,3.915.082.456
478,31.393.700.787.401.500,400.0,3.966.197.282,3.937.221.447,3.912.950.147,3.893.261.901,3.878.055.623,3.867.251.618,3.860.792.377,3.858.643.168
479,8.755.748.031.496.060,400.0,4.031.238.968,4.057.768.856,407.984.525,4.097.660.193,4.111.365.183,4.121.074.723,4.126.868.891,4.128.795.055
480,38.843.700.787.401.500,400.0,397.434.405,395.236.933,3.933.977.308,3.919.067.901,3.907.558.405,3.899.383.981,3.894.498.036,3.892.872.511
481,17.115.748.031.496.000,400.0,3.950.970.162,3.908.873.846,3.873.559.753,3.844.879.107,3.822.706.464,3.806.941.856,3.797.512.552,3.794.374.386
482,5.491.220.472.440.940,400.0,3.992.401.921,3.985.897.463,398.046.334,3.976.064.565,3.972.672.662,3.970.265.573,3.968.827.588,3.968.349.303
483,3.324.488.188.976.370,400.0,3.968.208.507,3.940.962.292,3.918.144.327,3.899.637.964,3.885.346.307,3.875.193.068,3.869.123.257,3.867.103.684
484,7.897.992.125.984.250,400.0,4.020.745.773,4.038.383.281,4.053.075.895,4.064.942.245,4.074.076.693,4.080.551.025,4.084.415.682,4.085.700.594
485,21.086.614.173.228.300,400.0,3.955.154.864,391.666.871,3.884.396.257,3.858.194.619,3.837.943.761,3.823.548.308,3.814.939.035,3.812.073.964
486,3.594.606.299.212.590,400.0,3.971.158.708,3.946.448.167,3.925.759.811,3.908.984.614,3.896.032.237,3.886.831.701,3.881.331.918,3.879.502.087
487,6.724.488.188.976.370,400.0,4.006.726.771,40.124.455,4.017.216.235,4.021.073.587,4.024.045.398,4.026.153.038,4.027.411.619,4.027.830.149
488,8.515.236.220.472.440,400.0,4.028.275.422,4.052.296.403,4.072.291.158,4.088.430.075,410.084.788,4.109.646.587,4.114.897.634,4.116.643.315
489,4.911.181.102.362.200,400.0,3.985.805.525,3.973.657.747,3.963.502.176,3.955.277.168,3.948.932.276,394.442.825,3.941.737.049,3.940.841.851
490,16.876.771.653.543.300,400.0,3.950.719.532,3.908.406.894,3.872.910.469,3.844.081.167,3.821.793.251,38.059.465,3.796.467.993,379.331.344
491,13.311.417.322.834.600,400.0,3.946.996.606,3.901.469.273,3.863.262.284,3.832.222.373,3.808.219.852,3.791.151.074,3.780.940.468,3.777.542.073
492,38.108.661.417.322.800,400.0,3.973.534.005,3.950.863.747,3.931.888.057,3.916.504.503,3.904.628.387,3.896.193.267,3.891.151.381,3.889.473.955
493,800.244.094.488.189,400.0,4.022.012.291,404.072.442,40.563.102,4.068.896.637,407.858.466,4.085.450.985,4.089.549.487,4.090.912.125
494,3.701.299.212.598.420,400.0,3.972.329.087,3.948.623.995,3.928.779.737,3.912.690.487,3.900.268.642,3.891.445.431,3.886.171.384,3.884.416.688
495,12.321.259.842.519.600,400.0,3.945.968.079,3.899.552.178,3.860.595.642,382.894.421,380.446.724,378.706.024,3.776.646.979,3.773.181.081
496,4.567.047.244.094.480,400.0,3.981.933.759,3.966.469.393,3.953.536.113,3.943.058.184,3.934.973.422,3.929.233.325,3.925.803.171,3.924.662.105
497,7.145.275.590.551.180,400.0,4.011.709.454,4.021.669.382,402.997.402,4.036.686.015,4.041.855.564,404.552.107,4.047.709.629,4.048.437.365
498,2.904.606.299.212.590,400.0,396.365.902,3.932.499.187,3.906.391.951,3.885.210.147,3.868.847.728,385.722.094,3.850.269.264,3.847.956.118
499,3.370.196.850.393.700,400.0,3.968.706.437,394.188.831,3.919.429.965,3.901.215.995,3.887.150.575,3.877.158.289,3.871.184.788,3.869.197.275
