,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
96,7.829.803.149.606.290,400.0,40.199.206,4.036.857.767,4.050.968.172,4.062.365.054,4.071.138.551,4.077.357.265,4.081.069.422,4.082.303.645
97,28.979.921.259.842.500,400.0,3.963.587.707,3.932.366.495,390.620.765,3.884.983.853,3.868.588.922,3.856.938.993,3.849.973.467,384.765.571
98,8.101.614.173.228.340,400.0,4.023.217.708,4.042.952.279,4.059.387.637,4.072.658.888,4.082.873.289,409.011.231,4.094.433.133,4.095.869.663
99,4.401.299.212.598.420,400.0,3.980.079.981,3.963.026.554,3.948.761.648,3.937.203.181,3.928.283.655,3.921.950.355,3.918.165.511,3.916.906.421
100,6.616.338.582.677.160,400.0,4.005.454.025,4.010.088.537,4.013.955.287,4.017.082.044,4.019.491.172,4.021.199.845,402.222.022,4.022.559.542
101,1.012.755.905.511.810,400.0,3.943.697.666,3.895.319.625,3.854.707.431,3.821.704.888,3.796.179.441,3.778.024.897,3.767.163.683,3.763.548.564
102,21.279.133.858.267.700,400.0,3.955.358.724,3.917.048.357,3.884.923.947,3.858.842.927,3.838.685.549,3.824.356.683,3.815.787.284,3.812.935.492
103,2.824.212.598.425.190,400.0,3.962.792.962,3.930.887.659,3.904.153.553,3.882.461.646,386.570.428,3.853.796.379,384.667.644,3.844.307.274
104,18.077.559.055.118.100,400.0,3.951.980.265,391.075.567,3.876.176.237,3.848.094.505,3.826.386.244,3.810.952.529,3.801.721.426,3.798.649.271
105,8.117.401.574.803.140,400.0,4.023.409.856,4.043.307.379,4.059.878.119,4.073.258.484,4.083.556.748,4.090.855.144,4.095.211.384,4.096.659.685
106,3.394.527.559.055.110,400.0,39.689.717,3.942.381.609,3.920.114.813,3.902.056.575,3.888.111.647,387.820.508,3.872.282.869,3.870.312.428
107,2.048.976.377.952.750,400.0,395.452.343,3.915.492.746,3.882.761.666,385.618.634,3.835.645.853,3.821.044.092,3.812.311.267,3.809.405.052
108,644.740.157.480.315,400.0,4.003.472.329,4.006.417.982,400.887.615,4.010.864.206,4.012.396.162,4.013.482.796,4.014.131.741,4.014.347.552
109,167.996.062.992.126,400.0,3.950.638.633,3.908.256.167,3.872.700.885,3.843.823.595,3.821.498.467,3.805.625.199,3.796.130.807,3.792.970.964
110,15.724.015.748.031.400,400.0,3.949.512.496,3.906.157.878,3.869.783.082,3.840.237.561,3.817.394.213,3.801.151.643,3.791.436.024,3.788.202.498
111,5.501.181.102.362.200,400.0,3.992.515.976,3.986.109.013,3.980.756.403,3.976.423.652,3.973.082.682,397.071.175,396.929.537,3.968.824.272
112,8.033.464.566.929.130,400.0,4.022.389.072,4.041.420.824,4.057.272.211,4.070.072.759,4.079.925.365,4.086.908.225,4.091.076.244,4.092.461.987
113,5.880.826.771.653.540,400.0,3.996.882.916,3.994.206.768,3.991.972.007,3.990.163.678,3.988.769.655,3.987.780.573,3.987.189.775,3.986.993.284
114,4.399.055.118.110.230,400.0,3.980.054.931,3.962.980.027,3.948.697.119,3.937.124.043,392.819.323,3.921.851.907,3.918.062.267,391.680.158
115,672.492.125.984.252,400.0,4.006.731.874,401.245.495,4.017.229.308,4.021.089.588,4.024.063.654,4.026.172.892,4.027.432.428,4.027.851.276
116,6.940.314.960.629.920,400.0,4.009.276.329,4.017.165.894,4.023.745.889,4.029.065.024,4.033.162.401,4.036.067.981,403.780.293,4.038.379.852
117,25.993.700.787.401.500,400.0,3.960.379.311,3.926.395.659,3.897.913.313,3.874.798.442,3.856.939.124,3.844.246.763,3.836.657.231,3.834.131.717
118,37.758.661.417.322.800,400.0,3.973.148.774,3.950.147.696,393.089.436,3.915.285.239,3.903.234.695,3.894.675.538,3.889.559.453,3.887.857.331
119,22.841.732.283.464.500,400.0,3.957.016.714,3.920.135.725,3.889.214.893,3.864.114.341,384.471.675,3.830.929.031,382.268.368,3.819.939.796
120,5.694.566.929.133.850,400.0,3.994.735.604,3.990.225.448,3.986.458.347,3.983.409.551,3.981.058.956,3.979.391.011,3.978.394.655,397.806.327
121,17.321.259.842.519.600,400.0,3.951.185.805,3.909.275.605,3.874.118.377,3.845.565.619,3.823.492.142,3.807.798.196,379.841.122,3.795.287.151
122,9.953.307.086.614.170,400.0,4.046.246.251,4.085.450.219,4.118.022.622,4.144.276.448,4.164.455.723,4.178.743.217,4.187.265.905,4.190.098.569
123,6.331.141.732.283.460,400.0,4.002.113.087,4.003.899.862,4.005.391.144,4.006.597.358,4.007.526.919,4.008.186.307,4.008.580.113,4.008.711.078
124,9.593.543.307.086.610,400.0,4.041.693.508,4.077.058.044,4.106.454.302,4.130.156.581,4.148.379.498,4.161.284.242,4.168.983.014,4.171.541.983
125,6.639.173.228.346.450,400.0,4.005.722.485,4.010.585.718,401.464.319,4.017.924.099,4.020.451.957,4.022.244.819,4.023.315.461,4.023.671.498
126,33.614.173.228.346.400,400.0,3.968.610.756,3.941.710.372,3.919.182.929,390.091.278,3.886.803.893,3.876.780.684,3.870.788.679,3.868.795.007
127,21.079.133.858.267.700,400.0,3.955.146.945,3.916.653.962,3.884.375.758,3.858.169.434,3.837.914.944,3.823.516.905,3.814.906.082,3.812.040.496
128,26.380.708.661.417.300,400.0,3.960.793.867,3.927.167.261,3.898.985.308,3.876.114.977,3.858.445.056,3.845.887.536,3.838.378.728,3.835.880.091
129,9.210.590.551.181.100,400.0,4.036.889.309,4.068.197.158,4.094.234.268,4.115.236.002,4.131.387.209,4.142.827.119,4.149.652.857,4.151.921.781
130,5.414.094.488.188.970,400.0,3.991.519.679,398.426.098,3.978.196.189,3.973.286.558,3.969.500.528,3.966.813.637,3.965.208.459,3.964.674.558
131,7.697.952.755.905.510,400.0,4.018.328.772,4.033.914.493,4.046.901.127,4.057.391.676,4.065.468.234,4.071.193.343,4.074.611,4.075.747.332
132,4.055.905.511.811.020,400.0,3.976.239.819,3.955.892.365,3.938.865.523,3.925.064.888,3.914.412.575,39.068.476,3.902.326.183,3.900.821.976
133,43.556.299.212.598.400,400.0,3.979.570.453,3.962.080.135,394.744.903,3.935.593.358,3.926.444.194,391.994.769,3.916.065.256,3.914.773.691
134,24.616.141.732.283.400,400.0,3.958.906.693,3.923.654.445,3.894.104.602,3.870.120.587,3.851.588.037,3.838.416.329,3.830.539.816,3.827.918.748
135,7.428.503.937.007.870,400.0,4.015.090.945,4.027.926.038,4.038.624.294,4.047.268.532,4.053.924.929,4.058.644.006,4.061.461.355,4.062.398.132
136,9.153.976.377.952.750,400.0,4.036.182.727,4.066.893.487,4.092.435.891,411.303.974,4.128.885.614,4.140.109.586,4.146.806.608,4.149.032.766
137,7.941.811.023.622.040,400.0,4.021.276.732,4.039.364.795,4.054.431.913,4.066.600.214,40.759.668,4.082.605.516,408.656.824,4.087.885.747
138,14.224.015.748.031.400,400.0,3.947.946.639,3.903.239.888,3.865.724.974,3.835.249.607,3.811.685.036,3.794.928.432,378.490.486,3.781.568.764
139,22.619.291.338.582.600,400.0,395.678.033,3.919.695.582,3.888.603.202,3.863.362.918,3.843.857.055,3.829.992.226,3.821.700.702,3.818.941.443
140,24.448.818.897.637.700,400.0,3.958.728.142,3.923.322.052,3.893.642.734,3.869.553.288,3.850.939.064,3.837.709.199,3.829.797.867,3.827.165.204
